Qaqortoq monthly temperatures infilled with regressed values based on 
observations from 4 sites (Ivittuut, Nanortalik, Narsarsuaq and Paamiut) 
situated along the south coast of Greenland.


Vinther, B. M., K. K. Andersen, P. D. Jones, K. R. Briffa and J. Cappelen,
Extending Greenland Temperature Records into the late 18th Century,
doi:10.1029/2005JD006810, JGR, 111, D11105.


All temperatures are given in degrees Celsius times 10.


Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1833    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1834    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1835    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1836    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1837    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1838    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1839    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1840    NaN     NaN     NaN     -9      37      61      72      63      32      4       -68     -80
1841    -98     -47     -48     -34     31      NaN     NaN     75      45      -6      -54     -65
1842    -87     -109    -75     5       NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1843    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1844    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1845    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1846    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1847    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1848    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1849    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1850    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1851    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     40      -5      21      -72
1852    -112    -37     -13     4       38      65      81      73      NaN     NaN     NaN     NaN
1853    NaN     NaN     NaN     NaN     45      60      NaN     77      17      13      -75     -47
1854    -78     -95     -84     -18     -14     50      82      78      38      -3      -2      -75
1855    -67     -36     -37     -21     30      55      72      68      33      6       -23     -23
1856    -11     5       -2      8       50      56      78      85      57      -6      21      -33
1857    -60     -124    -49     -1      36      67      75      82      54      -15     -54     -78
1858    -99     -56     -16     3       29      57      NaN     NaN     NaN     NaN     NaN     NaN
1859    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1860    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1861    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1862    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -93
1863    -148    -146    -106    -65     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1864    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1865    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1866    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1867    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1868    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1869    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1870    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1871    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1872    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1873    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1874    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1875    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1876    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1877    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1878    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1879    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1880    -87     -97     -40     -4      32      66      74      65      44      25      -12     -49
1881    -32     -40     -37     41      33      44      49      60      40      0       -41     -84
1882    -116    -81     -120    -14     35      51      60      54      38      -2      -49     -37
1883    -114    -147    -29     -32     25      59      74      56      44      -8      -52     -108
1884    -108    -119    -86     -3      26      38      62      43      32      -23     -42     -95
1885    -73     -86     -36     -3      34      48      70      81      36      1       -42     -53
1886    -79     -71     -30     -26     35      39      68      62      39      0       -22     -63
1887    -108    -127    -88     5       29      56      71      75      43      4       0       -67
1888    -36     -42     -32     3       52      62      76      89      37      33      -59     -86
1889    -80     -48     -39     -19     27      38      79      55      50      9       -54     -72
1890    -109    -77     -53     -5      27      52      70      65      23      4       -48     -70
1891    -74     -113    -46     -15     42      82      81      74      39      -10     -37     -65
1892    -82     -69     -37     7       48      73      70      68      39      41      -40     -28
1893    -32     -69     -45     -14     29      59      74      77      55      0       -13     -94
1894    -92     -137    -87     -41     38      41      71      65      44      24      -53     -64
1895    -34     -11     -27     1       33      68      71      63      46      36      -47     -87
1896    -81     -88     -66     -17     16      57      65      68      34      16      -56     -121
1897    -65     -70     -37     -46     21      79      59      62      59      18      -34     -66
1898    -108    -132    -43     -18     30      68      62      71      35      -5      -72     -85
1899    -74     -68     -45     2       50      62      67      79      50      4       -49     -82
1900    -100    -34     -1      -2      45      68      84      88      44      10      -51     -63
1901    -101    29      -21     -4      43      54      62      60      42      -5      -16     -54
1902    -76     -34     -55     0       42      66      73      73      54      16      -51     -76
1903    -90     -82     -115    -19     21      53      78      69      56      29      -18     -51
1904    -95     -82     -81     -47     25      61      68      84      35      -21     -23     -39
1905    -103    -80     -47     10      45      48      73      68      40      44      -7      -70
1906    -87     -121    -43     -52     47      64      58      80      49      2       -52     -86
1907    -97     -92     -98     -21     33      39      71      60      34      11      -48     -74
1908    -96     -83     -75     14      24      45      89      67      58      -15     -20     -70
1909    -104    -64     4       15      48      82      61      70      61      6       -18     -75
1910    -81     -138    -70     -13     8       64      74      80      36      17      -28     -35
1911    -89     -80     -50     -15     21      58      69      82      48      24      -24     -86
1912    -79     -54     -53     2       40      75      78      81      49      10      -10     -53
1913    -69     -36     -83     -16     34      80      68      58      43      2       -56     -80
1914    -80     -91     -75     -6      17      40      60      62      33      4       -40     -130
1915    -76     -95     -6      -19     51      62      82      73      64      4       -1      -21
1916    -77     -86     18      -11     50      67      70      74      60      7       -30     -44
1917    -23     -23     -28     -1      50      71      94      75      34      -14     -55     -45
1918    -45     -97     -56     -27     31      37      82      64      47      -1      -63     -65
1919    -61     -50     -45     -16     39      48      74      70      43      35      -15     -57
1920    -105    -88     -93     4       19      62      64      58      37      3       -73     -52
1921    -80     -101    -84     -28     31      54      66      63      41      7       -40     -91
1922    -73     -127    -28     -8      24      29      60      78      40      18      -13     -53
1923    -74     -28     -24     -9      50      73      89      78      49      17      -17     -56
1924    -51     -39     -28     6       48      83      73      83      51      20      -23     -73
1925    -93     -105    -41     -6      43      56      65      69      58      40      -1      -8
1926    -35     -33     -28     18      59      77      76      83      50      36      -30     -37
1927    -50     -55     -30     5       61      81      83      86      66      37      -29     -23
1928    -64     -83     -25     10      58      86      92      98      62      30      -10     -55
1929    1       -29     15      36      54      98      84      94      52      10      -23     -74
1930    -66     -61     -16     13      62      73      82      68      64      7       -37     -64
1931    -35     -69     -66     -4      54      72      82      90      75      20      -60     -64
1932    -93     3       24      28      64      77      94      79      62      32      -26     -82
1933    -94     -45     -54     -1      58      68      87      81      56      21      -2      -44
1934    -81     -51     -68     14      26      72      86      79      50      15      -19     -21
1935    -58     -75     -26     29      76      73      78      90      59      13      -40     -22
1936    0       -2      -24     17      40      70      89      83      65      23      -15     -80
1937    -91     -73     7       -18     29      69      77      75      53      14      3       -56
1938    -96     -75     -68     -22     38      57      66      77      48      -14     -63     -84
1939    -42     -101    -60     14      38      69      89      78      70      36      -13     -12
1940    -25     -1      -14     10      41      50      72      71      45      37      -29     -31
1941    -15     -23     0       21      61      71      80      93      58      38      -17     -54
1942    -69     23      -15     -10     55      76      88      86      52      9       8       20
1943    -4      -62     -66     -21     28      69      74      74      50      -6      -15     -49
1944    -84     -43     -17     7       29      63      77      80      46      16      -52     -69
1945    -33     -92     -30     -19     47      71      76      74      46      34      -19     -6
1946    -72     -27     -8      -11     50      62      68      86      48      23      12      -18
1947    -43     4       -2      7       50      82      83      75      54      28      -10     -4
1948    -47     -59     -61     -5      37      85      88      92      51      6       -39     -49
1949    -83     -106    -31     -26     36      67      84      77      50      4       -22     -58
1950    -82     -68     -1      10      46      81      85      81      53      6       -23     -23
1951    -60     -81     -27     1       54      83      80      81      65      10      -8      -71
1952    -64     -44     -40     4       53      68      75      86      73      29      6       -16
1953    -61     -27     -46     31      59      64      75      85      55      0       -41     -88
1954    -60     -78     -11     -14     51      71      76      84      58      14      -44     -78
1955    -68     -25     1       7       46      70      57      71      51      23      18      -27
1956    -87     -41     -7      23      37      57      76      87      53      12      -31     -95
1957    -92     -43     -20     20      50      75      76      75      63      0       -19     -50
1958    -64     -32     -21     -1      47      64      88      89      66      18      -13     -25
1959    -13     -71     -47     23      48      41      75      72      56      29      -14     -72
1960    -27     -52     -36     6       35      62      79      110     59      58      9       -50
1961    -21     -81     -62     28      34      57      75      80      58      28      -20     -15
1962    -59     -55     20      -3      51      60      76      79      51      32      -19     -39
1963    -40     -19     -18     8       21      64      69      71      35      -15     -36     4
1964    -29     -4      -61     -6      41      55      73      91      66      24      -3      -56
1965    -58     -1      10      7       63      67      84      86      54      9       14      -32
1966    -41     7       -32     21      35      51      84      88      68      40      -19     -62
1967    -2      -55     -90     -30     31      46      77      69      50      1       -30     -38
1968    -38     -36     -48     12      64      57      84      70      61      18      -8      -15
1969    -28     -30     -11     -11     38      56      48      66      20      0       -41     -56
1970    -21     -57     -1      1       23      41      56      68      47      11      -32     -30
1971    -49     -94     -11     -4      20      61      71      63      51      9       -14     -96
1972    -105    -68     -88     -16     8       35      60      64      53      -2      -44     -76
1973    -59     -85     -48     6       23      45      68      63      54      11      4       -42
1974    -80     -55     -33     -21     35      50      80      80      40      25      -22     -106
1975    -101    -38     -25     9       44      45      69      80      44      34      -30     -52
1976    -74     -110    -84     -1      33      43      73      54      54      4       -17     -18
1977    -4      -5      -1      14      46      70      89      81      49      6       -5      -41
1978    -80     -13     -58     22      23      41      73      80      62      7       -55     24
1979    -44     -15     -51     22      40      49      68      79      52      8       -46     -71
1980    -18     -19     -36     -17     42      54      72      78      54      39      -6      -34
1981    -36     -71     -47     -4      29      60      81      62      59      3       -33     -29
1982    -41     -87     -58     -10     27      39      59      59      27      9       -61     -88
1983    -158    -70     -85     -26     22      41      61      51      37      -6      -7      -40
1984    -136    -131    -57     -57     17      42      77      57      42      1       -2      -89
1985    -3      -36     -16     11      50      64      79      67      63      18      -7      -13
1986    -48     17      -74     4       27      51      80      86      65      -4      -55     -74
1987    -40     -31     -51     -33     36      76      71      87      49      14      -20     -11
1988    -59     -45     -7      -15     27      49      62      73      53      9       16      -53
1989    -102    -131    -117    -31     18      46      61      58      32      4       -2      -16
1990    -74     -93     -82     -56     29      43      72      76      45      8       25      -67
1991    -78     -65     -27     -12     31      84      96      77      59      10      -36     -56
1992    -54     -109    -38     -22     -7      39      84      61      47      30      -50     -79
1993    -134    -92     -103    -19     17      67      59      80      66      28      -56     -86
1994    -58     -68     -79     -8      37      43      79      79      46      26      -4      -89
1995    -79     -73     -108    10      29      58      68      77      57      8       12      -30
1996    -39     -40     -19     25      52      62      74      74      67      0       -33     -31
1997    -21     -109    -63     14      45      72      77      76      58      35      -16     -15
1998    -23     -95     -52     35      46      61      80      72      64      9       -35     -35
1999    -71     -75     -38     27      35      48      85      86      52      22      -24     -56
2000    -42     -77     -53     14      24      74      82      80      64      4       -24     -16
2001    -60     -55     -19     14      36      74      68      91      75      25      -17     -12
2002    -45     -74     -56     -5      47      56      73      72      67      31      11      -5
2003    -4      -64     -29     -11     47      73      97      98      76      58      -7      -25
2004    -5      -11     -36     18      52      65      68      87      50      25      -3      -54
2005    -60     -6      8       22      42      76      92      81      56      15      -1      -26
